L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
4524774,7,5402,51,260296,16703,3277,6,13135,12,181093836,441000813,50307594
8727100,78,2706,11,277506,11027,3067,3357,21778,221165,188562559,470967817,50337600
9444443,34,3521,26,105433,5909,2180,31,5934,6,188862097,492792932,50297050
9033207,11,2545,7,101968,5981,2153,31,5593,12,189864558,494101076,50306770
8992813,8,2998,0,100423,6268,2199,59,5870,0,188831887,494668051,50280735
9616335,4,3964,1,101301,5991,2168,47,6165,6,188020627,500447688,50304461
7394676,14,2873,22,174471,7114,2395,53,6727,0,190267726,487804338,50272683
4916923,4,2067,8,197549,7227,2384,11,8060,12,189928441,450425855,50317847
5375422,4,2101,16,202781,8333,2687,5,8416,6,189723287,453339798,50277736
4586628,10,2953,0,200695,9172,2654,5,10122,6,189898911,447084067,50310954
4676363,12,3983,10,203129,7162,2273,10,7068,5,189934513,448061926,50293807
5087240,4,2243,0,198986,8348,2425,5,8145,5,189137598,447471995,50314209
4587091,12,6644,8,186204,10653,2724,10,7458,0,188296235,446396694,50367899
4889474,0,2592,4,207394,8583,2724,8,11673,16,188164457,446344838,50341654
5296623,1,1992,8,197598,7696,2457,12,8655,11,188660569,452317063,50284350
5225773,7,2520,4,198462,7814,2449,12,6697,10,189098941,449597050,50316543
6544872,55,4095,145155,688640,5450,625,1615,5117,2727,184837838,457677250,50292177
7355222,0,2336,3387,709398,4953,578,1619,6029,3467,188849621,474065190,50327788
7302556,1,2148,3445,650971,4773,549,1640,4566,3500,187896343,477175836,50282571
7533412,1,2006,3584,694679,4280,579,1677,4398,3555,189818487,489013417,50343297
7237598,7,10011,3463,684312,5636,559,1649,6440,3691,188080141,475991621,50263791
6533976,32,2989,3409,698054,5785,531,1635,5596,3536,190582695,479921359,50339114
4627567,15,3382,4419,1071121,6554,452,1231,5153,3761,187437811,476663211,50276561
4435206,1,2862,3269,1064846,6571,528,1157,3518,2474,189026020,487404298,50310691
4467381,12,14422,2523,1003054,3424,408,1122,9133,2756,179760688,448060837,50283922
4566306,0,5013,3307,1048870,11489,921,1198,7423,2563,188535979,478853958,50328941
4088777,33,3393,3682,1017801,6220,542,1213,5984,2696,188205329,491819110,50290262
4301140,23,3153,2570,931683,4780,620,1190,4490,2641,189326433,495713909,50323136
